"id_che300","id_autohome","match_type_ah","is_only_ah"
"935",7996,1,1
"936",7998,1,1
"937",7994,1,1
"938",7488,1,1
"939",16336,1,1
"940",15403,1,1
"941",15404,1,1
"942",16337,1,1
"943",15401,1,1
"944",15399,1,1
"945",15400,1,1
"946",15402,1,1
"947",11924,1,1
"948",11925,1,1
"949",11926,1,1
"950",11918,1,1
"951",11919,1,1
"952",11920,1,1
"953",11922,1,1
"954",11921,1,1
"955",11923,1,1
"956",11927,1,1
"957",9249,1,1
"958",9272,1,1
"959",11466,1,1
"960",9273,1,1
"961",9275,1,1
"962",10624,1,1
"963",9276,1,1
"964",10625,1,1
"965",7484,1,1
"966",7486,1,1
"967",NA,NA,NA
"968",7444,1,1
"969",7445,1,1
"970",7446,1,1
"971",7447,1,1
"972",5633,1,1
"973",5634,1,1
"974",5635,1,1
"975",5636,1,1
"976",5354,1,1
"977",4186,1,1
"978",3607,1,1
"979",4188,1,1
"980",3608,1,1
"981",4187,1,1
"982",3609,1,1
"983",4147,1,1
"984",3610,1,1
"985",NA,NA,NA
"986",2831,1,1
"987",2052,1,1
"988",2050,1,1
"989",NA,NA,NA
"990",2039,1,1
"991",NA,NA,NA
"992",2053,1,1
"993",2051,1,1
"994",14046,1,1
"995",14047,1,1
"996",14048,1,1
"997",13864,1,1
"998",13959,1,1
"999",13960,1,1
"1000",13961,1,1
"1001",13962,1,1
"1002",13963,1,1
"1003",13964,1,1
"1004",12443,1,1
"1005",11854,1,1
"1006",12444,1,1
"1007",11855,1,1
"1008",11856,1,1
"1009",11857,1,1
"1010",6416,1,1
"1011",7468,1,1
"1012",6967,2,1
"1013",6967,2,0
"1014",6671,2,1
"1015",6671,2,0
"1016",6966,2,1
"1017",6966,2,0
"1018",6662,2,1
"1019",6662,2,0
"1020",17833,1,1
"1021",15288,1,1
"1022",15289,1,1
"1023",14921,1,1
"1024",14922,1,1
"1025",14923,1,1
"1026",14924,1,1
"1027",12564,1,1
"1028",9036,1,1
"1029",9037,1,1
"1030",9034,1,1
